lat,lon,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,ADDRESS_LINE_1
43.670194,-79.4888815,Seniors Active Living Centre,,George Syme Seniors Centre Of York,33 Pritchard Avenue
43.6920537,-79.4682171,HIV AIDS and Hep C Program,HR Program,Syme-Woolner Neighbourhood And Family Centre,2468 Eglinton Avenue West
43.6574732,-79.3903189,Mental Health and Addiction Organization,Mental Health Services,Sinai Health System,600 University Avenue
43.6645309,-79.3854839,Pharmacy,Retail Pharmacy,Afiya Compounding Pharmacy,302-15 Wellesley Street West
43.6893853,-79.2904521,Pharmacy,Retail Pharmacy,Metro Pharmacy #537,3003 Danforth Avenue
43.7346797,-79.4451551,Community Support Service,,Lumacare Services,497 Wilson Avenue West
43.666065,-79.3735669,Long-Term Care Home,MHFA,Fudger House,439 Sherbourne Street
43.6612022,-79.4119544,Mental Health and Addiction Organization,Addiction Services,Jean Tweed Treatment Centre,455 Palmerston Boulevard
43.7565269,-79.5696911,Pharmacy,Retail Pharmacy,St. Joseph Pharmacy,2930 Islington Avenue
43.8038415,-79.3339002,Community Support Service,,Scarborough Support Services For The Elderly Inc.,1045 Mcnicoll Avenue
43.638129,-79.4181634,Pharmacy,Retail Pharmacy,Liberty Market Pharmacy,171 East Liberty Street
43.6366279,-79.4337852,Pharmacy,Long Term Care Facility,Lakeside Long Term Care Centre,150 Dunn Avenue
43.8046938,-79.3846822,Pharmacy,Retail Pharmacy,Shoppers Drug Mart 843,1515 Steeles Avenue East
43.6578724,-79.4461205,Seniors Active Living Centre,,Loyola Arrupe Centre For Seniors,106-55 Rankin Crescent
43.6659543,-79.3187469,Pharmacy,Retail Pharmacy,Ashdale Pharmacy,1568 Queen Street East
43.6581511,-79.390623,Pharmacy,Hospital Outpatient Dispensiary,Princess Margaret Outpatient P,610 University Avenue Main Fl
43.6772246,-79.4450047,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Alpha Laboratories Incorporated,1223 St. Clair Avenue West Suite 304
43.6615052,-79.3871179,Pharmacy,Retail Pharmacy,Rexall #8165,76 Grenville Street
43.6458446,-79.523539,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,1243 Islington Avenue
43.6531285,-79.4057986,Pharmacy,Hospital Outpatient Dispensiary,Shoppers Drug Mart #1027,399 Bathurst Street
43.6969404,-79.3958375,Integrated Community Health Services Centre,"Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion, Pulmonary Function C - Escalated Testing, Pulmonary Function - Other Fee Codes",Respiratory Services Limited,1849 Yonge Street
43.7217467,-79.376448,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Sunnybrook Health Sciences Centre,2075 Bayview Avenue
43.6397823,-79.4461627,Family Health Team,Satellite,St. Joseph's Urban Family Health Team,27 Roncesvalles Avenue
43.7332464,-79.4038542,Licensed Retirement Home,,The Teddington,4 Teddington Park Avenue
43.6695609,-79.3886045,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1408,55 Bloor Street West
43.6669861,-79.4122384,Pharmacy,Retail Pharmacy,Thu Pharmacy,868 Bathurst Street
43.6088825,-79.5642051,Community Support Service,,The Dorothy Ley Hospice Inc.,170 Sherway Drive
43.7008113,-79.5181756,Pharmacy,Retail Pharmacy,Quickpill,1953 Weston Road
43.7692045,-79.3628153,Community Support Service,,North York General Hospital,4001 Leslie Street
43.6800811,-79.4345228,Family Health Team,Satellite,University Health Network Toronto Western Family Health Team-Garrison Creek Site,928 St. Clair Avenue West
43.6675681,-79.400258,Pharmacy,Retail Pharmacy,Snowdon Guardian Pharmacy,264 Bloor Street West
43.6583483,-79.3891679,Pharmacy,Hospital Outpatient Dispensiary,Toronto General Hospital Phcy,585 University Av
43.6488594,-79.3784288,Integrated Community Health Services Centre,"Fluoroscopy, Radiography, General Ultrasound, Vascular Ultrasound, Nuclear Medicine - In Vivo - Spect, Nuclear Medicine - In Vivo - General",Well Health Diagnostic Centres,11 King Street West
43.673256,-79.4227362,Licensed Retirement Home,,Christie Gardens,600 Melita Crescent
43.6526881,-79.3767782,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,55 Queen Street East
43.655673,-79.3868072,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Dynacare,123 Edward Street
43.6531285,-79.4057986,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,University Health Network,399 Bathurst Street
43.71831,-79.3693414,Hospital,Site,University Health Network - Lyndhurst,520 Sutherland Drive
43.6436939,-79.4203519,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Centre For Addiction And Mental Health (CAMH),1051 Queen Street West
43.6833236,-79.322936,Integrated Community Health Services Centre,"General Ultrasound, Vascular Ultrasound",Coxwell Ultrasound,1577 Danforth Avenue
43.6509982,-79.4757682,Pharmacy,Retail Pharmacy,The Healing Source Pharmacy,2209 Bloor Street
43.647244,-79.4030548,Seniors Active Living Centre,,Waterfront Neighbourhood Centre,627 Queen'South Quay West
43.7413203,-79.5141941,Pharmacy,Retail Pharmacy,Homa Pharmacy,2698 Jane Street
43.6627292,-79.3723791,Long-Term Care Home,NH non-profit,Sherbourne Place,345 Sherbourne Street
43.7523996,-79.4546131,Pharmacy,Retail Pharmacy,M&D Shepphaer Pharmacy,872 Sheppard Avenue West
43.6855187,-79.408411,Licensed Retirement Home,,The Russell Hill Retirement Residence,262 St. Clair Avenue West
43.7304684,-79.4834611,Pharmacy,Retail Pharmacy,Downsview Park Pharmacy,2830 Keele Street #100
43.664049,-79.3682415,Pharmacy,Retail Pharmacy,Cabbagetown Pharmacy,239 Carlton Street
43.6953535,-79.2928911,Family Health Team,Satellite,South East Toronto Family Health Team- Health Access Taylor-Massey,The Market Place
43.6402987,-79.430694,Long-Term Care Home,NH for-profit,Elm Grove Living Centre,35 Elm Grove Avenue
43.6600242,-79.4358897,Licensed Retirement Home,,New Horizons Tower,1140 Bloor Street West
43.7234966,-79.5599455,Pharmacy,Retail Pharmacy,Islington IDA Pharmacy,2428 Islington Avenue
43.7246146,-79.3261725,Licensed Retirement Home,,Delmanor Wynford,187 Wynford Drive
43.7177239,-79.3305372,Seniors Active Living Centre,,Better Living Health And Community Services Deauville,5 Deauville Lane
43.6805976,-79.2881337,Pharmacy,Retail Pharmacy,Pharmasave 606,944 Kingston Road
43.6400499,-79.4335956,Mental Health and Addiction Organization,Mental Health Services,Loft Community Services,245 Dunn Avenue
43.6536476,-79.4453239,Seniors Active Living Centre,,Family Service Toronto,202 - 128A Sterling Road
43.6788477,-79.4436764,Mental Health and Addiction Organization,Addiction Services,Costi Immigrant Services,1710 Dufferin Street
43.6601714,-79.4351743,Mental Health and Addiction Organization,Mental Health Services,Opportunity For Advancement,1011 Dufferin Street
43.6898627,-79.3248548,Pharmacy,Retail Pharmacy,Toronto East Pharmasave,825 Coxwell Avenue
43.6976631,-79.3960965,Integrated Community Health Services Centre,General Ultrasound,Meridia Medical,1881 Yonge Street
43.6997205,-79.3923571,Pharmacy,Long Term Care Facility,Isabel And Arthur Meighen Mano,155 Millwood Road
43.6593535,-79.3655582,Community Health Centre,Main,Regent Park Community Health Centre,465 Dundas Street East
43.6514102,-79.3659438,Pharmacy,Retail Pharmacy,Loblaw Pharmacy #4354,200 Front Street East
43.6663396,-79.3836467,HIV AIDS and Hep C Program,CBAESP,"Loft Community Services, Mcewan House",20 Dundonald Street
43.6534163,-79.3840789,Mental Health and Addiction Organization,Addiction Services,City Of Toronto,100 Queen Street West
43.76658,-79.4714174,Pharmacy,Retail Pharmacy,Duffern-Finch Pharmacy,C1-2 Champagne Drive
43.6702957,-79.3915678,Pharmacy,Retail Pharmacy,Kingsway Drugs,114 Cumberland Street
43.666482,-79.4010481,Mental Health and Addiction Organization,Mental Health Services,Hong Fook Mental Health Association,407 Huron Street
43.6491676,-79.4216531,Pharmacy,Retail Pharmacy,Maple Leaf Medical Pharmacy,1169 Dundas Street West
43.6617148,-79.3828615,Community Support Service,,Nabors-Neighbours Allied For Better Opportunities In Residential Support,"2 Carlton Street, Suite 1001"
43.7130587,-79.3661379,Pharmacy,Retail Pharmacy,Leaside Community Pharmacy,795 Eglinton Avenue East
43.7236474,-79.4881181,Pharmacy,Retail Pharmacy,Rexall #8168,1235 Wilson Avenue
43.6519244,-79.3982223,HIV AIDS and Hep C Program,CBAESP,Asian Community AIDS Services,260 Spadina Avenue
43.762488,-79.5288826,Pharmacy,Retail Pharmacy,Life Trust Pharmacy Ltd.,201-125 Norfinch Drive
43.6772192,-79.4450027,Pharmacy,Retail Pharmacy,Shoppers Simply Pharmacy 3070,1221-1223 St. Claire Avenue West
43.701371,-79.2847114,Community Support Service,,West Scarborough Neighbourhood Community Centre,313 Pharmacy Avenue
43.7505549,-79.5427804,Pharmacy,Retail Pharmacy,Terrace Square Pharmacy,3424 Weston Road
43.6880237,-79.3480699,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #936,1009 Pape Avenue
43.6915497,-79.2881935,Pharmacy,Retail Pharmacy,Genix Pharmacy,3094 Danforth Avenue
43.6541974,-79.3905051,Pharmacy,Retail Pharmacy,Pharmacy By The Grange,"9,10-275 Dundas Street West"
43.661059,-79.3391464,HIV AIDS and Hep C Program,"HR Program, HCV Team, HIV POC Testing",South Riverdale Community Health Centre,955 Queen Street East
43.6565147,-79.3795213,Mental Health and Addiction Organization,Addiction Services,City Of Toronto,277 Victoria Street
43.7225171,-79.4161161,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #803,1500 Avenue Road
43.6603721,-79.3823524,Pharmacy,Retail Pharmacy,Radiant Pharmacy,427 Yonge Street
43.7082099,-79.4739969,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,1305 Lawrence Avenue West
43.6761698,-79.4103366,Mental Health and Addiction Organization,Mental Health Services,George Brown College,160 Kendal Avenue
43.6584283,-79.4082587,Pharmacy,Allergen Supplier,Ontario Allergy Lab,567 Bathurst Street
43.6533696,-79.3985122,Pharmacy,Retail Pharmacy,Emerge Pharmacy,101-302 Spadina Avenue
43.7523462,-79.4887679,Pharmacy,Retail Pharmacy,Keele Drug Mart,3472 Keele Street
43.6895382,-79.2969659,Pharmacy,Retail Pharmacy,Medicare Drug Mart,2772 Danforth Avenue
43.6662834,-79.3162884,Community Health Centre,Main,East End Health Community Health Centre,1619 Queen Street
43.6966841,-79.3693876,Pharmacy,Retail Pharmacy,Rexall #299,325 Moore Avenue
43.7257314,-79.4830004,Pharmacy,Retail Pharmacy,Rexall #891,1115 Wilson Avenue
43.6670962,-79.4008805,Community Support Service,,"Senior Adult Services In The Annex, Toronto","341 Bloor Street West, 2nd Floor"
43.6670986,-79.4315171,Pharmacy,Retail Pharmacy,Sone's Pharmacy,991 Dovercourt Road
43.7002701,-79.4281783,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #835,935 Eglinton Avenue West
43.6636991,-79.3719917,Seniors Active Living Centre,,Dixon Hall - Adult Enrichment And Wellness Program,188 Carlton Street
43.6676965,-79.3745979,Seniors Active Living Centre,,St. James Town Seniors Active Living Program,495 Sherbourne Street
43.7685341,-79.3813115,Pharmacy,Retail Pharmacy,St Gabriel Medical Pharmacy,650 Sheppard Avenue East
43.6363955,-79.4297376,Pharmacy,Home For Special Care,Kelly's Residence,61 Spencer Avenue
43.6397823,-79.4461627,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Dynacare,27 Roncesvalles Avenue
43.6884221,-79.3017543,Pharmacy,Retail Pharmacy,Main Drug Mart,2558 Danforth Avenue
43.7897344,-79.4047514,Hospital,Site,Sunnybrook Health Sciences Centre - St. John's Rehab,285 Cummer Avenue
43.6425171,-79.3804512,Pharmacy,Retail Pharmacy,Morelli's Pharmacy,15 York Street
43.6393645,-79.3989245,Pharmacy,Retail Pharmacy,City Place Pharmacy,142 Fort York Boulevard
43.7668479,-79.4119634,Pharmacy,Retail Pharmacy,Yonge Elmwood Pharmacy Inc.,201-5025 Yonge Street
43.6446179,-79.4192778,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Gerstein Crisis Centre,16 Ossington Street
43.699721,-79.3923581,Long-Term Care Home,NH non-profit,Isabel and Arthur Meighen Manor,155 Millwood Road
43.677587,-79.4431481,Pharmacy,Retail Pharmacy,Downtown Dispensary Ii,B-1678 Dufferin Street
43.6198621,-79.5485952,Family Health Team,Main,Etobicoke Medical Centre Family Health Team,85 The East Mall
43.7184161,-79.4623625,Community Support Service,,Access Apartments For Physically Disabled Adults In Toronto,75 Dufflaw Road
43.7193654,-79.5118693,Pharmacy,Retail Pharmacy,Beverly Hills Pharmacy,56 Beverly Hills Drive
43.6733153,-79.3557846,Mental Health and Addiction Organization,Addiction Services,Alpha House,647 Broadview Avenue
43.7100668,-79.3987013,Pharmacy,Retail Pharmacy,Yonge Drug Mart,104-2399 Yonge Street
43.6627292,-79.3723791,Pharmacy,Long Term Care Facility,Sherbourne Place,345 Sherbourne Street
43.702913,-79.3635363,Licensed Retirement Home,,The Millwood,921 Millwood Road
43.7323824,-79.3474236,Seniors Active Living Centre,,Better Living Community Centre,1 Overland Drive
43.5899636,-79.5450938,Pharmacy,Retail Pharmacy,Procare Pharmacy,3857 Lake Shore Boulevard West
43.6889623,-79.4955236,Pharmacy,Retail Pharmacy,Crosstown Pharmacy,1286 Weston Road
43.7603643,-79.411112,Pharmacy,Retail Pharmacy,Yuns Pharmacy,120-4750 Yonge Street
43.6656542,-79.4661145,Pharmacy,Retail Pharmacy,Treasury Pharmacy,2896 Dundas Street West
43.6473977,-79.404259,Community Support Service,,St. Christopher House,588 Queen Street West
43.7083271,-79.3958938,Pharmacy,Allergen Supplier,"Danylak, M Md",89 Roehampton Avenue
43.6556291,-79.3868074,Pharmacy,Retail Pharmacy,Victor Pharmacy,123 Edward Street
43.6567879,-79.3893499,Hospital,Site,University Health Network - University Centre,550 University Avenue
43.7100888,-79.3988402,Integrated Community Health Services Centre,"Bone Mineral Dxa, Radiography, General Ultrasound",Yonge & Eglinton Diagnostic Imaging,2401 Yonge Street
43.7032709,-79.2779615,Pharmacy,Retail Pharmacy,Warden Woods Pharmacy,99 Firvalley Court
43.7467504,-79.353378,Pharmacy,Retail Pharmacy,Geriatrx Pharmacy,7-31 Scarsdale Road
43.6586978,-79.4880274,Pharmacy,Retail Pharmacy,Lingeman Pharmacy,411 Jane Street
43.7272228,-79.3269863,Pharmacy,Retail Pharmacy,Pharmasave Wynford Heights,150 Wynford Heights
43.6007882,-79.5038643,Pharmacy,Retail Pharmacy,Don Russell Drug Mart,2891 Lakeshore Boulevard West
43.7543949,-79.4453867,Licensed Retirement Home,,L'Chaim Retirement Homes Inc.,718 Sheppard Avenue West
43.6750099,-79.4035631,Mental Health and Addiction Organization,Mental Health Services,Loft Community Services,316 St. George Street
43.688876,-79.3483641,Seniors Active Living Centre,,"Coffee, Tea And Sunshine, Exercise, Main Sunshine Program And Sunshine After Hours","1033 Pape Avenue, Suite 8"
43.6834729,-79.4718056,Community Health Centre,Satellite,Unison Health And Community Services Keele-Rogers,1651 Keele Street
43.7086307,-79.3989783,Integrated Community Health Services Centre,General Ultrasound,Pollin Fertility,2360 Yonge Street
43.6676295,-79.3752489,Mental Health and Addiction Organization,Addiction Services,Fife House,490 Sherbourne Street
43.6473977,-79.404259,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,West Neighbourhood House,588 Queen Street West
43.7009922,-79.4244629,Integrated Community Health Services Centre,Ophthalmic Ultrasound,Margolin Medicine Professional Corporation,801 Eglinton Avenue West
43.6820212,-79.3306961,Mental Health and Addiction Organization,Mental Health Services,Cota Health,1266 Danforth Avenue
43.6867049,-79.483827,Pharmacy,Retail Pharmacy,Drug Store Pharmacy #4285,25 Photography Cir
43.6650984,-79.3824827,Licensed Lab and Specimen Collection Centre,Licensed Hospital Lab Location,Sunnybrook Health Sciences Centre - Holland Orthopaedic And Arthritic Site,43 Wellesley Street East
43.7257907,-79.4806,Pharmacy,Retail Pharmacy,Regency Pharmacy,2737 Keele Street
43.6898627,-79.3248548,HIV AIDS and Hep C Program,HIV Clinical Services,"Michael Garron Hospital, Immunodeficiency Clinic",825 Coxwell Avenue East
43.6582362,-79.4298041,Mental Health and Addiction Organization,Addiction Services,St. Michael's Homes,277 Rusholme Road
43.6694361,-79.3751141,Mental Health and Addiction Organization,Mental Health Services,Progress Place,561 Sherbourne Street
43.6882324,-79.3035339,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Dynacare,2494 Danforth Avenue
43.6676295,-79.3752489,HIV AIDS and Hep C Program,CBAESP,"Ontario Organizational Development Program, C/O Regional HIV/AIDS Connection",490 Sherbourne Street
43.6586763,-79.3568503,Pharmacy,Retail Pharmacy,River St Pharmacy,3-41 River Street
43.6551175,-79.4148086,Pharmacy,Retail Pharmacy,Medi-Place Pharmacy,622 College Street
43.6553824,-79.3871159,Mental Health and Addiction Organization,Mental Health Services,Children's Mental Health Ontario,180 Dundas Street West
43.7217467,-79.376448,Pharmacy,Retail Pharmacy,Odette Cancer Centre Pharmacy,T1-271-2075 Bayview Avenue
43.6603726,-79.4335343,Pharmacy,Retail Pharmacy,Main Drug Mart,1078 Bloor Street West
43.7081764,-79.478198,Pharmacy,Retail Pharmacy,Demarco Pharmacy,2394 Keele Street
43.6667701,-79.3757623,Pharmacy,Long Term Care Facility,Wellesley Central Place,160 Wellesley Street East
43.7045887,-79.349653,Pharmacy,Retail Pharmacy,Main Drug Mart,25 Overlea Boulevard Unit 4
43.6799161,-79.4354048,Pharmacy,Retail Pharmacy,Regal Heights Pharmacy,942 St Clair Avenue West
43.6559467,-79.4084455,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1026,463 College Street
43.6957631,-79.4486882,Seniors Active Living Centre,,Loyola Arrupe Centre For Seniors,222 - 1775 Eglinton Avenue West
43.6391228,-79.3861827,Pharmacy,Retail Pharmacy,Bloom Pharmacy,268 Queens Quay West
43.6815923,-79.2985915,Long-Term Care Home,NH for-profit,Main Street Terrace,77 Main Street
43.7633696,-79.4895008,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Med-Health Laboratories Ltd.,1315 Finch Avenue West Suite 116
43.6815992,-79.3326019,Pharmacy,Retail Pharmacy,Danforth Central Pharmacy,1188 Danforth Avenue
43.6401909,-79.4473042,Community Support Service,,Copernicus Lodge,66 Roncesvalles Avenue
43.7038628,-79.3612265,Pharmacy,Retail Pharmacy,Pace Pharmacy,40 Laird Drive
43.7186457,-79.4011311,Pharmacy,Retail Pharmacy,Glengrove Pharmacy,2760 Yonge Street
43.6974652,-79.3918429,Community Support Service,,"Senior Peoples' Resources In North Toronto, Inc.",140 Merton Street
43.6433682,-79.4190332,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Centre For Addiction And Mental Health (CAMH),100 Stokes Street
43.6878662,-79.3021922,Pharmacy,Retail Pharmacy,Peoples Drug Mart,2543 Danforth Avenue
43.7282524,-79.4808396,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #820,1084 Wilson Avenue
43.7709264,-79.4568146,Licensed Retirement Home,,St. Bernard's Residence,685 Finch Avenue West
43.6716414,-79.3782416,Pharmacy,Retail Pharmacy,Rexall #257,3-345 Bloor Street
43.6571799,-79.3836734,Community Support Service,,2 Spirited People Of The First Nations,"43 Elm Street, 2nd Floor"
43.6555501,-79.4575083,Integrated Community Health Services Centre,Abortion,Choice In Health Clinic,1678 Bloor Street West
43.6670781,-79.3752825,Long-Term Care Home,NH non-profit,Wellesley Central Place,160 Wellesley Street East
43.7428542,-79.5886626,Pharmacy,Retail Pharmacy,Albion Finch Pharmacy,E101-6100 Finch Avenue West
43.6968801,-79.4629499,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Across Boundaries: An Ethnocultural Mental Health Centre,51 Clarkson Avenue
43.6542816,-79.4219753,Pharmacy,Retail Pharmacy,Wellcare College Pharmacy,815 College Street
43.6940224,-79.2748986,Pharmacy,Long Term Care Facility,Chester Village,3555 Danforth Avenue
43.7630331,-79.2952254,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,520 Ellesmere Road
43.7363596,-79.348772,Licensed Retirement Home,,Greenview Lodge,880 Lawrence Avenue East
43.6559767,-79.4109275,Pharmacy,Retail Pharmacy,College Life Care Pharmacy,530 College Street
43.661059,-79.3391464,Mental Health and Addiction Organization,Addiction Services,South Riverdale Community Health Centre,955 Queen Street East
43.6594341,-79.3671543,Mental Health and Addiction Organization,Mental Health Services,Loft Community Services,416 Dundas Street East
43.6371383,-79.4391859,Pharmacy,Long Term Care Facility,Chartwell White Eagle LTC Resi,138 Dowling Avenue
43.6442846,-79.4181406,Hospital,Corporation,Centre For Addiction and Mental Health - Queen Street Site,1001 Queen Street West
43.6895928,-79.507835,Community Support Service,,West Park Healthcare Centre,82 Buttonwood Avenue
43.6911745,-79.4724634,Community Support Service,,St. Clair West Services For Seniors Inc.,2562 Eglington Avenue West
43.7329785,-79.4046456,Pharmacy,Retail Pharmacy,Rexall #880,3402 Yonge Street
43.660489,-79.3860552,Integrated Community Health Services Centre,"Radiography, General Ultrasound",Well Health Diagnostic Centres,790 Bay Street
43.6647676,-79.4186315,Pharmacy,Long Term Care Facility,The O'Neill Centre,33 Christie Street
43.6565147,-79.3795213,Public Health Unit Office,,Toronto Public Health,277 Victoria Street
43.7890048,-79.1397245,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #829,265 Port Union Road
43.6551764,-79.4073211,Family Health Team,Main,University Health Network Toronto Western Family Health Team,440 Bathurst Street
43.6776329,-79.3894531,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #926,1027 Yonge Street
43.7144387,-79.378012,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs Lp,1866 Bayview Avenue
43.6889786,-79.2987838,Pharmacy,Retail Pharmacy,Trc Crescent Street Pharmacy,2688 Danforth Avenue
43.641876,-79.4111942,Pharmacy,Retail Pharmacy,East Liberty Village Pharmacy,105A-901 King Street West
43.6716736,-79.3768662,Integrated Community Health Services Centre,"Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",Kainam Pulmonary Investigation,600 Sherbourne Street
43.6749417,-79.4080173,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1281,292 Dupont Street
43.6701082,-79.3755753,Pharmacy,Retail Pharmacy,Shoppers Drug Mart 1322,40-565 Sherbourne Street
43.6860256,-79.3936248,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,1366 Yonge Street
43.6575078,-79.4034113,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,340 College Street
43.6724041,-79.4014412,Pharmacy,Long Term Care Facility,St. George Community,225 St George Street
43.713785,-79.453961,Pharmacy,Retail Pharmacy,John & Jack Pharmacy,787 Lawrence Avenue West
43.7021681,-79.2989125,Community Support Service,,Harmony Hall/Call-A-Service Inc.,"2 Gower Street,"
43.6656576,-79.373606,Mental Health and Addiction Organization,Mental Health Services,Loft Community Services,437 Sherbourne Street
43.6543599,-79.4514867,Mental Health and Addiction Organization,Mental Health Services,Habitat Services (Mental Health Program Services Of Metropolitan Toronto),2238 Dundas Street West
43.7028324,-79.525426,Pharmacy,Retail Pharmacy,Main Drug Mart,2160 Weston Road
43.6617039,-79.427622,Pharmacy,Retail Pharmacy,Bloor Court Pharmacy,936 Bloor Street West
43.7347062,-79.3804293,Community Support Service,,The Ontario Community Ctr For The Deaf Inc(Bob Rumball Ctr For The Deaf),2395 Bayview Avenue
43.8013127,-79.1987027,Pharmacy,Retail Pharmacy,Peoples Choice Remedys Rx,1145 Morningside Avenue
43.7909776,-79.3671455,Pharmacy,Retail Pharmacy,Finch-Leslie Pharmacy,149C Ravel Road
43.6502654,-79.3869386,Pharmacy,Retail Pharmacy,Rexall #8141,120-250 University Avenue
43.6355444,-79.4680682,Pharmacy,Retail Pharmacy,First Light Pharmacy,101-1928 Lakeshore Boulevard West
43.6375058,-79.4293753,Long-Term Care Home,NH for-profit,Norwood Nursing Home,122 Tyndall Avenue
43.686038,-79.3934667,Pharmacy,Retail Pharmacy,Pharmasave Balmoral Chemists,1366 Yonge Street Unit 100
43.6503351,-79.3796072,Community Support Service,,Unity Health Toronto,"22 Adelaide Street West, Suite 3400"
43.637147,-79.3958858,Pharmacy,Retail Pharmacy,Lakefront Medical Pharmacy,14-550 Queens Quay West
43.767042,-79.1941857,Community Health Centre,Satellite,Scarborough Centre For Healthy Communities Earlyon Child And Family Centre,4110 Lawrence Avenue East
43.7526404,-79.453998,Licensed Retirement Home,,Aspira Kensington Place Retirement Living,866 Sheppard Avenue West
43.6688486,-79.3949882,Pharmacy,Retail Pharmacy,Ontario Prevention Clinic,803-180 Bloor Street West
43.6485194,-79.3833325,Integrated Community Health Services Centre,General Ultrasound,True North Imaging - Toronto West Ultrasound,130 King Street West
43.6366334,-79.405719,Pharmacy,Retail Pharmacy,Fort York Pharmacy,108-219 Fort York Boulevard
43.6552578,-79.393141,Long-Term Care Home,NH non-profit,Mon Sheong Home for the Aged,36 D'Arcy Street
43.7151961,-79.4524396,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #821,770 Lawrence Avenue West
43.6539461,-79.3775207,HIV AIDS and Hep C Program,HIV Clinical Services,"St. Michael's Hospital, Positive Care Program",30 Bond Street
43.6632716,-79.3737661,Pharmacy,Retail Pharmacy,Greendale Drugs,166 Carlton Street
43.6581803,-79.4034329,Seniors Active Living Centre,,Second Mile Club - Kensington Gardens Senior Recreation Centre,25 Brunswick Avenue
43.674368,-79.4599002,Pharmacy,Retail Pharmacy,Whiteside Pharmacy,1732 St Clair Avenue West
43.6621825,-79.3802401,Pharmacy,Retail Pharmacy,Loblaw Pharmacy #1007,60 Carlton Street
43.6565517,-79.3888478,Hospital,Corporation,The Hospital For Sick Children,555 University Avenue
43.6603485,-79.3785401,Community Support Service,,Family Services Association Of Toronto,355 Church Street
43.6469296,-79.3840073,HIV AIDS and Hep C Program,CBAESP,HIV & AIDS Legal Clinic (Ontario),55 University Avenue
43.701368,-79.5216469,Family Health Team,Main,Humber River Family Health Team,2050 Weston Road
43.6693734,-79.3391559,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,1000 Gerrard Street
43.6675506,-79.3695778,Pharmacy,Retail Pharmacy,Dale's Pharmacy,572 Parliament Street
43.7552752,-79.5266106,Hospital,Site,Humber River Health -York Finch,2111 Finch Avenue West
43.6604467,-79.4318207,Mental Health and Addiction Organization,Mental Health Services,Gerstein Crisis Centre,1045 Bloor Street West
43.7131127,-79.3661347,Long-Term Care Home,NH non-profit,Suomi-Koti Toronto Nursing Home,795 Eglinton Avenue East
43.6413328,-79.3996166,Pharmacy,Retail Pharmacy,Wholehealth Phcy Fashion Dist,57-550 Front Street West
43.6627039,-79.4213353,Pharmacy,Retail Pharmacy,Omni Pharmacy,799 Bloor Street West
43.6706838,-79.4548446,Community Support Service,,Davenport Perth Neighbourhood Centre,1900 Davenport Road
43.6898627,-79.3248548,Licensed Lab and Specimen Collection Centre,Licensed Hospital Lab Location,Michael Garron Hospital - Toronto East Health Network,825 Coxwell Avenue
43.8078158,-79.3729393,Licensed Retirement Home,,Chartwell Gibson Retirement Residence,1955 Steeles Avenue East
43.6888187,-79.5079837,Hospital,Site,University Health Network - West Park Healthcare,170 Emmett Avenue
43.715142,-79.5830788,Family Health Team,Main,Woodbine Family Health Team,306 Rexdale Boulevard
43.6428675,-79.4179521,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Centre For Addiction And Mental Health (CAMH),80 Workman Way
